file,family,category,odrl_term
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL324-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL325-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL325-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL325-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL325-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL326-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL326-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL326-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL326-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL327-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL327-policy.ttl,spatial,Policies,gt
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL327-policy.ttl,spatial,Policies,lt
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL327-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL328-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL328-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL328-policy.ttl,spatial,Policies,lt
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL328-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL328-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL329-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL329-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL329-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL329-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL330-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL330-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL330-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL330-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL331-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL331-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL331-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL332-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL332-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL332-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL333-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL333-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL333-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL333-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL334-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL334-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL334-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL334-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL340-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL340-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL340-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL340-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL341-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL341-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL341-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL341-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL342-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL342-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL342-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL342-policy.ttl,spatial,Policies,use
